ID,Education,Marital_Status,Income,Dt_Customer,Wine,Fruit,Meat,Fish,Sweet,Gold,Discount_Purchase,Web_Purchase,Catalog_Purchase,Store_Purchase,Web_Visit,Campaign3,Campaign4,Campaign5,Campaign1,Campaign2,Complain,Latest_Campaign,Day_Join,Month_Join,Year_Join,Income Category,Generation,Family_Size,T_AmountSpent,T_Purchase,T_AcceptedCampaign
2569,Undergraduate,Married,17323.0,2012-10-10,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,10,10,2012,Low,Millennial,2,46,4,0
2114,Postgraduate,Unmarried,82800.0,2012-11-24,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,24,11,2012,High,Baby Boomer,1,1315,25,3
9736,Undergraduate,Married,41850.0,2012-12-24,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,24,12,2012,Middle,Gen X,4,96,6,0
4939,Undergraduate,Married,37760.0,2012-08-31,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,31,8,2012,Low,Baby Boomer,2,317,11,0
6565,Postgraduate,Married,76995.0,2013-03-28,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,28,3,2013,Middle,Baby Boomer,3,1782,24,1
2278,Postgraduate,Unmarried,33812.0,2012-11-03,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,3,11,2012,Low,Millennial,2,133,6,0
9360,Undergraduate,Married,37040.0,2012-08-08,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,8,8,2012,Low,Millennial,2,316,11,0
5376,Undergraduate,Married,2447.0,2013-01-06,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,6,1,2013,Low,Gen X,3,1730,28,0
1993,Postgraduate,Married,58607.0,2012-12-23,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,23,12,2012,Middle,Baby Boomer,3,972,14,1
4047,Postgraduate,Married,65324.0,2014-01-11,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,11,1,2014,Middle,Baby Boomer,3,544,17,0
1409,Undergraduate,Married,40689.0,2013-03-18,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,18,3,2013,Middle,Baby Boomer,3,444,13,0
7892,Undergraduate,Unmarried,18589.0,2013-01-02,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,2,1,2013,Low,Gen X,1,75,6,0
2404,Undergraduate,Married,53359.0,2013-05-27,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,27,5,2013,Middle,Gen X,4,257,10,0
5255,Undergraduate,Unmarried,51381.5,2013-02-20,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,20,2,2013,Middle,Millennial,2,637,27,0
9422,Undergraduate,Married,38360.0,2013-05-31,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,31,5,2013,Low,Millennial,3,131,7,0
1966,Postgraduate,Married,84618.0,2013-11-22,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,22,11,2013,High,Gen X,2,1672,25,1
6864,Postgraduate,Unmarried,10979.0,2014-05-22,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,22,5,2014,Low,Millennial,1,30,6,0
3033,Postgraduate,Married,38620.0,2013-05-11,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,11,5,2013,Low,Baby Boomer,2,318,10,0
5710,Undergraduate,Married,40548.0,2012-10-10,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,10,10,2012,Middle,Gen X,3,120,7,1
7373,Postgraduate,Unmarried,46610.0,2012-10-29,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,29,10,2012,Middle,Baby Boomer,3,302,11,1
8755,Postgraduate,Married,68657.0,2013-02-20,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,20,2,2013,Middle,Baby Boomer,2,1196,17,0
10738,Postgraduate,Unmarried,49389.0,2013-08-29,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,29,8,2013,Middle,Baby Boomer,3,65,5,0
4339,Postgraduate,Married,67353.0,2013-12-31,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,31,12,2013,Middle,Gen X,3,913,23,0
10755,Postgraduate,Married,23718.0,2013-09-02,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,2,9,2013,Low,Gen X,3,81,6,0
8595,Undergraduate,Unmarried,42429.0,2014-02-11,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,11,2,2014,Middle,Gen X,2,67,5,0
2968,Postgraduate,Unmarried,48948.0,2013-02-01,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,1,2,2013,Middle,Pre Baby Boomer,1,902,22,2
8601,Undergraduate,Married,80011.0,2013-04-29,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,29,4,2013,High,Gen X,3,1395,19,0
503,Postgraduate,Married,20559.0,2013-03-12,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,12,3,2013,Low,Millennial,3,53,5,0
8430,Undergraduate,Married,21994.0,2012-12-24,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,24,12,2012,Low,Baby Boomer,3,22,3,0
7281,Postgraduate,Unmarried,51381.5,2013-11-05,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,5,11,2013,Middle,Baby Boomer,1,186,8,0
2139,Postgraduate,Married,7500.0,2013-10-02,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,2,10,2013,Low,Gen X,3,31,5,0
1371,Undergraduate,Unmarried,79941.0,2014-06-28,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,28,6,2014,Middle,Gen X,1,984,15,0
9909,Postgraduate,Married,7500.0,2012-11-09,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,9,11,2012,Low,Millennial,2,122,7,1
7286,Undergraduate,Married,41728.0,2013-05-24,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,24,5,2013,Middle,Gen X,3,55,4,0
7244,Undergraduate,Unmarried,51381.5,2014-01-01,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,1,1,2014,Middle,Baby Boomer,4,124,7,0
6566,Postgraduate,Married,72550.0,2012-11-08,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,8,11,2012,Middle,Baby Boomer,4,1319,19,0
8614,Undergraduate,Unmarried,65486.0,2014-05-12,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,12,5,2014,Middle,Baby Boomer,2,507,16,0
4114,Postgraduate,Married,79143.0,2012-08-11,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,11,8,2012,Middle,Baby Boomer,2,1693,28,0
1331,Undergraduate,Unmarried,35790.0,2013-01-02,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,2,1,2013,Low,Gen X,2,72,5,0
2225,Undergraduate,Unmarried,82582.0,2014-06-07,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,7,6,2014,High,Gen X,1,1617,20,3
9381,Undergraduate,Married,66373.0,2013-06-12,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,12,6,2013,Middle,Gen X,4,606,16,0
6260,Postgraduate,Married,82384.0,2012-11-19,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,19,11,2012,High,Baby Boomer,2,1957,26,2
10383,Undergraduate,Unmarried,70287.0,2013-04-02,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,2,4,2013,Middle,Gen X,1,1093,20,1
7437,Undergraduate,Unmarried,27938.0,2014-04-28,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,28,4,2014,Low,Millennial,2,29,5,0
8557,Undergraduate,Unmarried,51381.5,2013-06-17,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,17,6,2013,Middle,Millennial,2,46,5,0
8375,Postgraduate,Married,55954.0,2014-03-03,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,3,3,2014,Middle,Gen X,3,518,16,0
6853,Postgraduate,Unmarried,75777.0,2013-07-04,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,4,7,2013,Middle,Millennial,1,1438,20,3
3076,Undergraduate,Married,66653.0,2012-09-07,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,7,9,2012,Middle,Gen X,4,612,18,0
1012,Undergraduate,Unmarried,61823.0,2013-02-18,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,18,2,2013,Middle,Baby Boomer,2,884,20,0
6518,Postgraduate,Unmarried,67680.0,2013-06-11,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,11,6,2013,Middle,Baby Boomer,2,606,18,0
4137,Undergraduate,Married,70666.0,2013-12-06,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,6,12,2013,Middle,Baby Boomer,2,1076,15,0
8082,Undergraduate,Married,25721.0,2013-05-21,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,21,5,2013,Low,Gen X,3,34,4,1
1386,Undergraduate,Married,32474.0,2014-05-11,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,11,5,2014,Low,Gen X,4,11,3,0
9369,Postgraduate,Unmarried,88194.0,2014-03-19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,19,3,2014,High,Gen X,2,1274,31,3
4477,Undergraduate,Married,69096.0,2013-09-27,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,27,9,2013,Middle,Baby Boomer,3,653,17,0
1357,Undergraduate,Married,74854.0,2013-04-08,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,8,4,2013,Middle,Gen X,5,1562,12,0
1402,Postgraduate,Married,66991.0,2012-09-11,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,11,9,2012,Middle,Baby Boomer,2,1253,18,0
10629,Postgraduate,Married,51381.5,2012-09-14,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,14,9,2012,Middle,Gen X,3,109,6,0
6312,Undergraduate,Married,65031.0,2013-03-17,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,17,3,2013,Middle,Baby Boomer,3,863,26,0
8132,Postgraduate,Married,60631.0,2013-04-05,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,5,4,2013,Middle,Gen X,4,661,19,1
1050,Undergraduate,Married,28332.0,2014-04-30,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,30,4,2014,Low,Baby Boomer,2,65,7,0
5846,Undergraduate,Unmarried,40246.0,2012-12-19,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,19,12,2012,Middle,Gen X,2,13,3,0
1859,Postgraduate,Married,75251.0,2012-08-27,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,27,8,2012,Middle,Gen X,2,1890,18,1
7503,Undergraduate,Unmarried,75825.0,2012-10-12,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,12,10,2012,Middle,Gen X,1,2209,22,2
10401,Postgraduate,Married,26326.0,2013-09-04,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,4,9,2013,Low,Gen X,2,18,3,0
1618,Undergraduate,Married,56046.0,2013-01-02,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,2,1,2013,Middle,Gen X,2,692,19,2
3332,Undergraduate,Unmarried,29760.0,2012-08-29,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,29,8,2012,Low,Millennial,2,165,8,0
2261,Undergraduate,Married,26304.0,2013-06-23,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,23,6,2013,Low,Gen X,3,16,3,0
5346,Postgraduate,Married,23559.0,2013-07-03,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,3,7,2013,Low,Gen X,3,79,6,0
4119,Postgraduate,Married,38620.0,2013-05-11,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,11,5,2013,Low,Baby Boomer,2,318,10,0
535,Undergraduate,Unmarried,81361.0,2014-02-25,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,25,2,2014,High,Millennial,1,778,26,0
5268,Undergraduate,Married,29440.0,2013-08-11,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,11,8,2013,Low,Baby Boomer,4,56,5,0
273,Postgraduate,Married,36138.0,2013-07-16,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,16,7,2013,Low,Gen X,4,151,8,1
4452,Undergraduate,Unmarried,50388.0,2014-05-28,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,28,5,2014,Middle,Baby Boomer,2,372,13,3
8504,Undergraduate,Married,79593.0,2014-05-12,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,12,5,2014,Middle,Gen X,2,1366,18,1
771,Undergraduate,Married,54178.0,2014-01-21,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,21,1,2014,Middle,Gen X,3,194,9,0
8996,Postgraduate,Married,51381.5,2012-11-19,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,19,11,2012,Middle,Baby Boomer,5,603,17,0
9235,Undergraduate,Unmarried,51381.5,2014-05-27,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,27,5,2014,Middle,Baby Boomer,3,18,3,0
5798,Postgraduate,Married,51381.5,2013-11-23,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,23,11,2013,Middle,Gen X,2,985,14,0
11178,Postgraduate,Unmarried,42394.0,2014-03-23,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,23,3,2014,Middle,Gen X,2,32,4,0
2230,Postgraduate,Married,23626.0,2014-05-24,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,24,5,2014,Low,Gen X,3,43,7,0
7516,Undergraduate,Married,30096.0,2014-05-22,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,22,5,2014,Low,Millennial,3,45,5,0
7247,Undergraduate,Unmarried,47916.0,2012-11-22,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,22,11,2012,Middle,Baby Boomer,2,606,17,1
11100,Undergraduate,Unmarried,51813.0,2013-04-11,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,11,4,2013,Middle,Gen X,3,63,5,0
4646,Postgraduate,Married,78497.0,2013-12-01,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,1,12,2013,Middle,Baby Boomer,2,978,24,1
3037,Postgraduate,Married,50150.0,2013-06-20,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,20,6,2013,Middle,Millennial,2,410,14,0
1473,Postgraduate,Unmarried,47823.0,2013-07-23,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,23,7,2013,Middle,Baby Boomer,2,72,5,0
1016,Postgraduate,Unmarried,34554.0,2014-03-30,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,30,3,2014,Low,Baby Boomer,2,55,5,0
4518,Undergraduate,Married,85693.0,2013-04-20,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,20,4,2013,High,Gen X,3,1169,25,0
9370,Postgraduate,Married,65846.0,2013-05-17,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,17,5,2013,Middle,Pre Baby Boomer,2,1120,15,0
8908,Undergraduate,Married,87195.0,2014-05-08,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,8,5,2014,High,Baby Boomer,2,1097,19,1
8373,Basic,Married,24594.0,2013-12-10,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,10,12,2013,Low,Gen X,3,29,4,0
7533,Undergraduate,Married,49096.0,2013-09-24,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,24,9,2013,Middle,Baby Boomer,4,187,9,0
2683,Undergraduate,Married,52413.0,2013-02-02,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,2,2,2013,Middle,Gen X,4,910,22,0
3629,Undergraduate,Unmarried,38557.0,2012-12-19,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,19,12,2012,Low,Gen X,2,145,7,0
10991,Postgraduate,Married,89058.0,2012-12-07,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,7,12,2012,High,Baby Boomer,2,850,13,0
5077,Undergraduate,Married,77298.0,2013-11-02,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,2,11,2013,Middle,Gen X,3,969,23,0
7431,Postgraduate,Unmarried,68126.0,2012-11-10,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,10,11,2012,Middle,Millennial,1,1820,16,2
3267,Postgraduate,Married,57288.0,2014-06-25,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,25,6,2014,Middle,Baby Boomer,3,608,17,1
999,Undergraduate,Unmarried,86037.0,2013-01-02,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,2,1,2013,High,Millennial,1,730,24,3
9215,Postgraduate,Married,43974.0,2012-12-12,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,12,12,2012,Middle,Gen X,3,551,16,0
2286,Undergraduate,Unmarried,50785.0,2013-09-10,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,10,9,2013,Middle,Baby Boomer,3,114,6,0
1592,Undergraduate,Married,90765.0,2014-01-24,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,24,1,2014,High,Gen X,2,1724,15,2
367,Postgraduate,Married,36550.0,2013-02-19,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,19,2,2013,Low,Gen X,3,577,15,0
5234,Postgraduate,Married,30753.0,2013-07-11,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,11,7,2013,Low,Gen X,4,81,5,0
9862,Undergraduate,Married,21918.0,2013-11-14,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,14,11,2013,Low,Gen X,3,33,5,0
9805,Postgraduate,Married,56129.0,2013-06-20,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,20,6,2013,Middle,Baby Boomer,3,660,18,0
6205,Postgraduate,Unmarried,32557.0,2014-02-24,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,24,2,2014,Low,Gen X,2,80,6,1
8442,Postgraduate,Married,19510.0,2013-09-04,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,4,9,2013,Low,Millennial,4,30,4,0
7386,Undergraduate,Unmarried,30992.0,2013-04-22,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,22,4,2013,Low,Gen X,2,43,4,0
7215,Undergraduate,Unmarried,101970.0,2013-03-12,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,12,3,2013,High,Millennial,1,1135,27,4
1491,Postgraduate,Married,71488.0,2013-02-18,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,18,2,2013,Middle,Gen X,2,559,14,0
11071,Undergraduate,Unmarried,79607.0,2013-04-21,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,21,4,2013,Middle,Millennial,1,1923,15,1
3381,Postgraduate,Married,54348.0,2014-06-08,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,8,6,2014,Middle,Baby Boomer,4,90,6,0
8268,Postgraduate,Married,51381.5,2013-07-11,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,11,7,2013,Middle,Baby Boomer,3,404,14,0
11051,Postgraduate,Married,77376.0,2014-05-10,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,10,5,2014,Middle,Baby Boomer,4,661,19,0
8026,Undergraduate,Married,62998.0,2013-09-30,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,30,9,2013,Middle,Baby Boomer,3,463,14,0
433,Postgraduate,Unmarried,61331.0,2013-03-10,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,10,3,2013,Middle,Baby Boomer,3,632,18,0
9597,Undergraduate,Married,73448.0,2014-02-10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,10,2,2014,Middle,Gen X,2,725,18,0
1295,Undergraduate,Married,51381.5,2013-08-11,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,11,8,2013,Middle,Baby Boomer,3,725,18,0
5290,Postgraduate,Married,41551.0,2013-08-14,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,14,8,2013,Middle,Baby Boomer,4,279,11,0
1685,Postgraduate,Married,62981.0,2013-03-17,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,17,3,2013,Middle,Gen X,2,1482,22,1
5342,Basic,Unmarried,9548.0,2012-08-08,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,8,8,2012,Low,Gen X,2,29,4,0
9579,Postgraduate,Married,33762.0,2013-07-07,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,7,7,2013,Low,Baby Boomer,5,106,6,0
7660,Postgraduate,Unmarried,35860.0,2014-05-19,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,19,5,2014,Low,Gen X,3,49,4,2
1461,Postgraduate,Unmarried,36921.0,2013-07-28,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,28,7,2013,Low,Gen X,3,38,5,0
821,Postgraduate,Unmarried,92859.0,2012-10-19,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,19,10,2012,High,Millennial,1,2077,21,0
11084,Postgraduate,Married,65104.0,2013-11-14,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,14,11,2013,Middle,Gen X,3,1053,15,1
8690,Undergraduate,Married,86111.0,2013-04-19,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,19,4,2013,High,Baby Boomer,2,1385,22,0
2937,Postgraduate,Unmarried,68352.0,2013-08-28,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,28,8,2013,Middle,Gen X,2,871,22,0
9701,Undergraduate,Married,41883.0,2013-03-19,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,19,3,2013,Middle,Millennial,3,312,9,0
9949,Undergraduate,Married,59809.0,2012-10-18,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,18,10,2012,Middle,Gen X,4,877,12,0
10837,Undergraduate,Married,23957.0,2012-10-28,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,28,10,2012,Low,Gen X,3,68,5,1
3120,Undergraduate,Married,38547.0,2013-08-28,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,28,8,2013,Low,Millennial,3,22,3,0
5885,Postgraduate,Married,35688.0,2012-08-22,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,22,8,2012,Low,Gen X,5,211,9,0
4050,Postgraduate,Married,49605.0,2014-06-21,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,21,6,2014,Middle,Gen X,2,127,7,0
3830,Postgraduate,Married,59354.0,2014-04-24,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,24,4,2014,Middle,Baby Boomer,4,459,15,0
7987,Undergraduate,Married,65747.0,2014-03-07,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,7,3,2014,Middle,Gen X,3,460,15,1
7798,Postgraduate,Married,46344.0,2012-12-14,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,14,12,2012,Middle,Gen X,3,429,13,0
92,Undergraduate,Unmarried,34176.0,2014-05-12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,12,5,2014,Low,Millennial,2,89,7,0
7055,Postgraduate,Married,61010.0,2012-10-09,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,9,10,2012,Middle,Baby Boomer,3,1021,24,0
10240,Undergraduate,Married,69372.0,2013-02-19,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,19,2,2013,Middle,Baby Boomer,2,1381,20,3
